"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Notch Signaling","3/32",0.949718417591883,0.999996090192148,0,0,0.459400544959128,0.0237003550646143,"PSEN2;CUL1;SKP1"
"p53 Pathway","28/200",0.958663956276935,0.999996090192148,0,0,0.721504450186621,0.0304580766424089,"RRAD;AK1;TRIAP1;FOXO3;RCHY1;TOB1;RXRA;FAM162A;SESN1;MKNK2;TNNI1;IER5;HRAS;SLC19A2;TSPYL2;JUN;TSC22D1;ZBTB16;DCXR;OSGIN1;WWP1;TPD52L1;BLCAP;MAPKAPK3;CCNG1;COQ8A;FGF13;ISCU"
"UV Response Dn","19/144",0.961533530443228,0.999996090192148,0,0,0.673974822112753,0.0264372295508753,"SMAD3;MIOS;IRS1;SFMBT1;SCHIP1;DYRK1A;MRPS31;NR1D2;VLDLR;KALRN;PEX14;DBP;RXRA;MTA1;DDAH1;TOGARAM1;PDLIM5;MAP2K5;CAP2"
"Wnt-beta Catenin Signaling","4/42",0.963381426558374,0.999996090192148,0,0,0.467329402820215,0.0174341271573838,"HDAC5;HDAC11;PSEN2;CUL1"
"Androgen Response","12/100",0.967919558165318,0.999996090192148,0,0,0.604864542723051,0.0197223924575585,"IDI1;RAB4A;TSC22D1;HOMER2;SRF;NGLY1;ADRM1;GPD1L;PDLIM5;MYL12A;FKBP5;NKX3-1"
"Apical Surface","4/44",0.9723312834422,0.999996090192148,0,0,0.443908421913328,0.012455495902837,"AKAP7;HSPB1;SLC2A4;TMEM8B"
"Spermatogenesis","17/135",0.972463120710966,0.999996090192148,0,0,0.638729462596892,0.0178353234918439,"PACRG;HSPA1L;PARP2;MAST2;PEBP1;HSPA2;PIAS2;ART3;MLF1;MTOR;PRKAR2A;NPHP1;VDAC3;TNNI3;NF2;NOS1;LPIN1"
"Cholesterol Homeostasis","8/74",0.973213409435713,0.999996090192148,0,0,0.537798172723139,0.014602236539014,"IDI1;GSTM2;PCYT2;ACSS2;GLDC;ECH1;TMEM97;FDFT1"
"Mitotic Spindle","26/199",0.982285135035045,0.999996090192148,0,0,0.665689275055434,0.0118982979309641,"YWHAE;RABGAP1;PCM1;KIF1B;SYNPO;PCNT;MARK4;PDLIM5;SAC3D1;CLASP1;CDK5RAP2;DST;MID1IP1;RANBP9;TSC1;SSH2;DYNLL2;CKAP5;LRPPRC;TUBA4A;ARHGAP10;CLIP1;ALS2;BIN1;TUBGCP5;KPTN"
"Protein Secretion","10/96",0.988710934336966,0.999996090192148,0,0,0.515557841139237,0.00585326780056476,"GOLGA4;DST;TSPAN8;BNIP3;USO1;GNAS;SSPN;KIF1B;DNM1L;SOD1"
"TGF-beta Signaling","4/54",0.993634520501812,0.999996090192148,0,0,0.354908694467157,0.00226638500916994,"PPM1A;SMAD3;NOG;HIPK2"
