"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mitophagy","27/68",3.16869277072376e-05,0.000517825012584115,0,0,2.94155974472526,30.4734009729937,"PRKN;USP15;FOXO3;BCL2L13;MAPK9;UBB;MFN2;USP30;TBC1D17;HRAS;GABARAPL2;FIS1;JUN;CSNK2A1;BNIP3;ATG9A;TFEB;RRAS2;MITF;PINK1;MRAS;NBR1;PGAM5;ULK1;SQSTM1;OPTN;ATF4"
"Insulin signaling pathway","45/137",3.33006438960846e-05,0.000517825012584115,0,0,2.18881824936484,22.5665713057858,"PRKAA2;CALML6;IRS1;ARAF;INPPL1;PRKAG1;PPP1R3A;PYGM;SLC2A4;ACACB;PRKAG3;CRKL;HK1;PPP1CB;IKBKB;RPTOR;PPP1CC;GYS1;MAPK9;INPP5A;PHKG1;AKT2;PRKAR2A;MKNK2;PRKACA;PPARGC1A;HRAS;SH2B2;PRKAB2;MAP2K2;TSC2;PHKA1;TSC1;PHKB;MTOR;PPP1R3F;PPP1R3C;PPP1R3B;RAPGEF1;TRIP10;CALM3;RAF1;SOS2;FBP2;RHOQ"
"Pyruvate metabolism","20/47",0.000105709089363512,0.00156550127581201,0,0,3.30524885685028,30.2589572710798,"FH;ACSS2;PDHA1;ADH1C;MDH1;MDH2;GLO1;ACYP2;PDHB;ACACB;ACAT1;GRHPR;PKM;ALDH1B1;LDHD;ME3;DLAT;HAGH;ACSS1;DLD"
"Retrograde endocannabinoid signaling","44/148",0.000507458258292269,0.00717361446949526,0,0,1.89131356381287,14.3476864505098,"NDUFB9;FAAH;NDUFA13;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;ADCY2;MAPK9;CACNA1S;NDUFV3;PRKACA;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;MAPK12;ADCY9;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFS2;NDUFS1"
"Glucagon signaling pathway","34/107",0.00057429413676212,0.00776545550143563,0,0,2.08033969892376,15.5242621864518,"CAMK2B;PFKFB1;CAMK2D;PRKAA2;CALML6;CAMK2A;PRKAG1;PYGM;ADCY2;PDHB;ACACB;PRKAG3;GYS1;PPP3CB;PPP3CC;PHKG1;AKT2;PRKACA;PPARGC1A;CAMK2G;PRKAB2;PDHA1;PRMT1;PGAM2;PHKA1;PHKB;CPT1B;PKM;GNAS;CALM3;PPARA;PFKM;FBP2;ATF4"
"Fatty acid degradation","17/43",0.000951247361726876,0.0123265803957108,0,0,2.91530255849184,20.2839067931629,"GCDH;ACADVL;ACAA2;ECHS1;ADH1C;ECI1;ECI2;ACADSB;CPT1B;ACAT1;HADHB;HADHA;ALDH1B1;CPT2;ACADM;HADH;ACADS"
"Peroxisome","26/82",0.00250173191965161,0.0311215450804661,0,0,2.07139919307454,12.4092803262577,"ECI2;MPV17L;DDO;HMGCL;PRDX5;NUDT19;MLYCD;DECR2;NUDT12;ACOT8;PHYH;PEX19;ECH1;IDH2;PEX10;PEX1;PEX12;PEX13;PEX14;SOD1;GNPAT;PEX7;PEX6;PEX5;PXMP2;CRAT"
"Oxytocin signaling pathway","42/154",0.00408998688356926,0.0489225354150015,0,0,1.67464197190857,9.20921376618597,"RYR1;CAMK2B;MYLK2;CAMK2D;PRKAA2;CALML6;ROCK2;CAMK2A;PRKAG1;MYL6B;ADCY2;MYLK3;PRKAG3;RYR3;MYLK4;PPP1CB;CACNG6;PPP1CC;PPP3CB;PPP3CC;CACNA1S;CACNG1;PRKACA;HRAS;CAMK2G;MAP2K5;KCNJ2;MEF2C;PRKAB2;JUN;MAP2K2;KCNJ12;CACNA2D1;PLA2G4C;CACNA2D3;EEF2;CACNB1;ADCY9;GNAS;CALM3;RAF1;PPP1R12B"
"Autophagy","38/137",0.00449835314560596,0.0518143640104982,0,0,1.71359815486363,9.26035968468445,"MTMR3;PRKAA2;STX17;IRS1;RPTOR;MAPK9;STK11;DEPTOR;AKT2;TP53INP2;MLST8;PRKACA;HRAS;SH3GLB1;IGBP1;GABARAPL2;MAP2K2;DAPK2;BNIP3;ATG9A;TSC2;RRAS2;TSC1;WIPI1;ATG14;MTOR;MRAS;RRAGB;RRAGD;AKT1S1;BCL2;ULK2;PRKCQ;ULK1;ATG4A;RAF1;SQSTM1;ATG4D"
"Ubiquitin mediated proteolysis","38/140",0.00662283049746835,0.0735607244540235,0,0,1.66289074089058,8.34310935743361,"PRKN;DET1;UBE2D4;UBE3C;CUL5;UBE2D2;CUL3;CUL2;CUL1;KEAP1;UBE2D1;NEDD4L;UBE3A;UBE3B;RCHY1;RHOBTB1;ANAPC11;RHOBTB2;HERC1;UBB;SKP1;UBE2H;UBE2B;UBE2E3;UBE2QL1;WWP1;UBE4B;UBE2G1;UBE2G2;PIAS2;CUL4A;UBOX5;CDC34;NEDD4;ANAPC5;STUB1;TRIM32;UBE2M"
"AMPK signaling pathway","33/120",0.00884563701045986,0.094861831388035,0,0,1.69230769230769,8.00094465870914,"PFKFB1;PRKAA2;CAB39;IRS1;PRKAG1;PPP2R2A;SLC2A4;FOXO3;ACACB;PRKAG3;RPTOR;GYS1;STK11;PPP2R1A;AKT2;MLYCD;PPARGC1A;PRKAB2;STRADB;TSC2;TSC1;PPP2R5D;PPP2R3B;PPP2R3A;EEF2;CPT1B;MTOR;RAB10;AKT1S1;PPP2R2D;ULK1;PFKM;FBP2"
