"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mitochondrial Translation (GO:0032543)","66/98",2.01519015591126e-26,7.4996317604012e-24,0,0,9.31755960632104,551.287379794813,"MRPS17;GFM1;MRPS15;MRPS16;FASTKD2;GFM2;MRPS11;MRPL38;MRPL39;MRPS10;MRPL37;MRPL34;MRPL35;MRPL33;MRPL4;MRPL41;MTRF1;MRPL2;MRPL1;MRPL40;EARS2;MRPS28;TSFM;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;MRPS18B;MRPS18A;MRPS2;MRPL48;MRPL45;MRPS7;QRSL1;MRPL46;MRPL43;MRPS5;TUFM;MRPL44;MRPS9;MRPL51;MTRF1L;MRPS33;MRPL19;MRPS34;MRPL16;MRPS31;MRPL14;MRPL58;MTIF2;MRPS30;MTIF3;MRPL12;MRPL57;MRPL10;MRPL20;DROSHA;IARS2;GADD45GIP1;PTCD3;NDUFA7;GATB;MRPL24;MRPL21;MRPL30"
"Mitochondrial Gene Expression (GO:0140053)","68/103",2.14889162189146e-26,7.4996317604012e-24,0,0,8.78031305726174,518.93634724044,"MRPS17;MRPS15;MRPS16;FASTKD1;FASTKD2;GFM2;MRPS11;MRPL38;MRPL39;MRPS10;MRPL37;MRPL34;MRPL35;MRPL33;MRPL4;MRPL41;MRPL2;MRPL1;MRPL40;FASTK;MRPS28;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;TWNK;MRPS18B;MRPS18A;MRPS2;MRPL48;TFB2M;POLRMT;MRPL45;MRPS7;QRSL1;MRPL46;MRPL43;MRPS5;MRPL44;MRPS9;MRPL51;FASTKD5;MRPS33;MRPL19;MRPS34;MRPL16;MRPS31;MRPL14;MRPL58;MRPS30;FOXO3;MRPL12;MRPL57;MRPL10;TBRG4;MRPL20;IARS2;GADD45GIP1;PTCD3;NDUFA7;MTERF3;MTERF4;GATB;MRPL24;MRPL21;MRPL30;SLC25A33"
"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)","34/34",8.33018860651668e-26,2.6836022987763e-23,0,0,555118,32056580.2921524,"NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFS2;NDUFS1;NDUFAF1"
"Striated Muscle Contraction (GO:0006941)","41/57",1.40720427556508e-18,4.20955107576182e-16,0,0,11.507967373348,473.03415559036,"RYR1;CHRNA1;MYLK2;SMPX;KCNE5;ATP1A2;RCSD1;LMOD3;RYR3;TTN;CSRP3;TNNI1;TNNI2;DMD;TNNI3;NOS1;SCN5A;SCN3B;SCN1B;MYH7B;DTNA;TNNC1;PGAM2;TNNC2;TPM1;STAC3;ATP1B1;KLHL41;MYH3;JSRP1;TNNT1;MYL2;TNNT2;MYL3;TNNT3;CASQ2;MYH8;TCAP;MYH6;MYH7;SCN2B"
"Muscle Contraction (GO:0006936)","55/94",4.7500720818565e-18,1.32622012525434e-15,0,0,6.34888236878287,253.24658095368,"RYR1;MYLK2;MYL6B;LMOD3;MYOM2;RYR3;LMOD2;SGCA;ANKRD2;NOS1;EMD;SNTA1;GAMT;TMOD1;CHRNB1;TMOD4;TPM3;TPM2;PGAM2;TPM1;TACR2;KLHL41;TRDN;MYH1;MYH2;MYH3;MYL1;MYOT;TNNT2;CASQ2;MYH8;SCN4A;ALDOA;CRYAB;MYH6;MYH7;SMPX;ROCK2;CLCN1;TTN;CKMT2;CHRND;CHRNG;APBB1;CACNA1S;DTNA;KCNJ12;P2RX6;SMTN;DES;SLC6A8;SLMAP;FXYD1;HRC;SSPN"
"Myofibril Assembly (GO:0030239)","33/46",3.7120011120206e-15,9.71616291071392e-13,0,0,11.3770498732037,378.027571622428,"FHOD3;FLII;LMOD3;MYLK3;MYOM2;MYPN;LMOD2;TTN;CSRP3;SIX4;ANKRD1;CAPN3;FLNC;MYOZ1;MYOZ2;TMOD1;ADPRHL1;ACTN2;TMOD4;TPM1;KLHL41;MYH3;OBSCN;SYNPO2L;TNNT1;MYL2;TNNT2;TNNT3;TCAP;CASQ1;OBSL1;MYH6;MYH7"
"Sarcomere Organization (GO:0045214)","24/29",9.22843375184267e-14,2.27345179721865e-11,0,0,21.4704302548643,644.411388683303,"FHOD3;TPM1;MYLK3;MYOM2;MYPN;LMOD2;TTN;CSRP3;MYH3;OBSCN;SIX4;SYNPO2L;TNNT1;TNNT2;TNNT3;ANKRD1;CAPN3;TCAP;FLNC;CASQ1;MYOZ1;MYOZ2;MYH6;MYH7"
"Muscle Organ Development (GO:0007517)","35/58",1.51960693293267e-12,3.53561879729001e-10,0,0,6.81980065492268,185.584298693088,"TRIM72;CTF1;MSTN;FHL1;FHL3;ZBTB42;FXR1;SGCD;SGCA;CAPN3;SPEG;DMD;LARGE1;SOX6;BVES;EMD;MEF2D;SGCG;MEF2A;TEAD4;TBX1;MEF2C;CAV3;NEB;KY;MAPK12;POU6F1;SMTN;MYH3;DES;MYOD1;ITGA7;ITGB1BP2;MYH6;MYF5"
"Mitochondrion Organization (GO:0007005)","68/162",2.38515806266228e-12,5.25739050864716e-10,0,0,3.25742615162157,87.1744429460637,"ATP2A1;MTFR1L;PARK7;PHB2;CHCHD4;CHCHD2;CHCHD3;AIFM1;OPA1;LONP1;TIMM17A;TIMM17B;USP30;DNM1L;SLC25A46;MEF2A;ATPAF2;TOMM70;MIGA2;CLUH;PARP1;SIRT4;SIRT5;TIMM23;BCS1L;NIPSNAP2;SUPV3L1;OXA1L;HAX1;NDUFS1;SLC25A4;ATPAF1;PRKN;STOML2;ATP23;TIMM13;MIEF2;OMA1;HIGD1A;MFF;TRAK1;COX7A1;TMEM70;RCC1L;TIMM50;PRDX3;SAMM50;PITRM1;MFN2;PPARGC1A;DNAJC19;TIMM8B;FIS1;MYH7B;PTCD2;MTX2;NUBPL;BNIP3;CHCHD10;TIMM44;ATP5F1D;HIGD2A;PINK1;FMC1;TMEM11;DNAJA3;PYROXD2;SLC25A33"
"Heart Contraction (GO:0060047)","26/41",2.38438644529743e-10,4.99290521645282e-08,0,0,7.75270998994607,171.77609048199,"MYLK2;KCNE5;ATP1A2;TTN;CSRP3;SGCD;DMD;TNNI3;SCN5A;SCN3B;SCN1B;SGCG;TNNC1;TPM1;ATP1B1;SOD1;TRDN;ACTC1;MYL2;TNNT2;MYL3;CASQ2;TCAP;MYH6;MYH7;SCN2B"
"Skeletal Muscle Contraction (GO:0003009)","16/19",8.9618055609301e-10,1.78724008043692e-07,0,0,23.8067632850242,495.963423892211,"CHRNA1;MYH7B;TNNC1;TNNC2;STAC3;RCSD1;JSRP1;MYH3;TNNT1;TNNT3;MYH8;TNNI1;TCAP;TNNI2;TNNI3;MYH7"
"Skeletal Muscle Tissue Development (GO:0007519)","25/42",3.58601870339355e-09,6.82647560446009e-07,0,0,6.57491615067079,127.857287290378,"POPDC2;RYR1;MYLK2;POPDC3;SIX1;MYL6B;LMOD3;CSRP3;PPP3CB;SIX4;DMD;MYOZ1;BVES;MYOZ2;MYOG;ZBTB18;MYH7B;SVIL;MEF2C;KLHL40;KLHL41;MYOD1;MYF6;MYORG;MYF5"
"Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)","25/43",7.07026224136837e-09,1.28740253334134e-06,0,0,6.20926230506823,116.53151233689,"COX7B;UQCRB;COX15;COX4I1;UQCR11;UQCR10;COX5B;COX5A;COX7C;MTLN;UQCRH;CYC1;PPARGC1A;COX8A;NDUFA4;COX6C;COX6B1;UQCRQ;LYRM7;NDUFS4;UQCRC1;CYCS;NDUFS1;SDHAF4;UQCRC2"
"Cardiac Muscle Contraction (GO:0060048)","21/33",1.1930493177212e-08,2.0818710594235e-06,0,0,7.81797645125958,142.632477848608,"MYLK2;CAMK2D;KCNE5;TNNC1;TPM1;ATP1B1;TTN;CSRP3;MYL2;TNNT2;MYL3;CASQ2;TCAP;DMD;TNNI3;SCN5A;SCN3B;SCN1B;MYH6;MYH7;SCN2B"
