"k","silhouette_mean","silhouette_sd","bootstrap_ARI_mean","bootstrap_ARI_sd","min_cluster_size","max_cluster_size"
2,0.150870211123297,0.10700037850374,0.578734692369518,0.251876148540548,78,132
3,0.166200376795955,0.141866212412392,0.67058203344966,0.132210995585232,23,109
4,0.160929746312955,0.124221036441698,0.626423116920279,0.160236184409112,10,109
5,0.12751214637188,0.104067483898404,0.628912261369973,0.161832843535663,10,109
6,0.138099495464895,0.105609132724986,0.583177894069877,0.133208435513753,5,109
7,0.112754468092087,0.100101324105661,0.519745208693905,0.12125019053569,5,87
8,0.114644780099294,0.0987670968110773,0.535458548848245,0.112479357909517,5,87
9,0.0919500306975256,0.0973228353991762,0.52482684126618,0.0871071420366792,5,57
10,0.0908704520677147,0.0964653433423878,0.52177826338683,0.0778195458065245,5,57
