"cluster_id","gene","log2FoldChange","foldChange","pvalue","FDR","baseMean"
1,"GSN",1.77893889549731,3.43173676943758,8.23594239388079e-41,9.53111075420882e-38,85883.4969890729
1,"FGF2",1.71760145028687,3.28889158116859,2.97223003653471e-39,2.80601980422849e-36,928.917993043931
1,"TMEM200B",1.23424440237715,2.35258101009038,2.56265778619026e-38,1.99859452346903e-35,600.783543879154
1,"HABP4",0.824070506503774,1.77039404865283,8.24100132144669e-38,6.03359025320204e-35,1302.51300241463
1,"AFAP1L2",1.25702754942163,2.39002804878481,8.77810886835022e-38,6.29829311304128e-35,552.484493477353
1,"SESTD1",0.872363087272955,1.83065900558106,6.1845795272363e-36,2.91936566499477e-33,1934.59466795245
1,"AP001528.3",2.15645752698769,4.45818822013196,7.8300809339207e-36,3.54240831674541e-33,264.025840733562
1,"RAB33B",0.584516232390098,1.49953607730305,5.63200890952811e-35,2.14945020882256e-32,680.94868604787
1,"CTIF",1.03561580367912,2.04998848172439,2.96802270121446e-34,1.00450768307612e-31,1811.13955298375
1,"TF",2.13355779888468,4.38798258162993,4.28298049195102e-34,1.39683568317039e-31,586.166078601777
1,"MAGI2",0.938498052920424,1.91653195503742,2.18121931210592e-33,6.48987024083205e-31,393.30091443766
1,"NUMBL",1.11937210801095,2.1725239899807,1.92545637963704e-32,4.63595621607239e-30,983.425127335948
1,"PLAT",1.84438080711332,3.59098793815839,3.06876459697803e-32,7.19555097494032e-30,1969.23483132427
1,"HCG11",0.749267895538576,1.68093961090788,3.67939380485573e-32,8.51601630639996e-30,872.208304597918
1,"COL2A1",4.42577721402904,21.492735572507,7.62323141487893e-32,1.68816930252334e-29,80.7740395248287
1,"SPTBN1",1.29734279918184,2.45775788006971,1.40627409511252e-31,2.95029726094513e-29,16849.0742906651
1,"ANKDD1A",0.993266012515798,1.99068646416908,1.58465896089205e-31,3.286106371214e-29,288.970132842271
1,"MIGA1",0.586866261996655,1.50198068669741,1.70356681448694e-31,3.49231196969823e-29,793.836637398802
1,"AOC2",1.8151216813554,3.51889308548448,2.10483452175107e-31,4.1950521371011e-29,109.71678304666
1,"EBF3",1.17831035420988,2.26311571737597,2.55284020163441e-31,4.950440120737e-29,1083.83969720509
2,"TUBB2B",1.44965929638658,2.73143538770323,4.08817762854887e-09,8.97957359667121e-07,1097.63715758481
2,"TPST1",0.623135834963197,1.54021935887635,4.92395066148971e-09,9.96806475764091e-07,995.990706256493
2,"CFHR1",2.47856319173829,5.57342122105998,3.50529650694991e-08,4.29544876122487e-06,81.0191952890336
2,"LINC00603",2.12203437688793,4.35307349154013,5.56489606953046e-08,6.1150017562462e-06,20.9093637717654
2,"FAM162B",0.969102246991355,1.95762203688604,8.94178189826743e-08,8.79851394294575e-06,167.023172178099
2,"C1orf123",0.546540338444864,1.46057894480157,1.73108065489004e-07,1.44542504272191e-05,1856.30034243903
2,"SPATA7",0.552585977732599,1.46671236904381,2.24371133910283e-07,1.71643917441367e-05,265.323623936773
2,"DIRAS3",1.50328148147618,2.83486784471735,2.58928434925929e-07,1.91253315281557e-05,207.848154311735
2,"LINC01121",1.59739238399388,3.02595888252875,4.31360637661558e-07,2.73150352111574e-05,33.9337426597084
2,"C16orf89",1.96988758140344,3.91737592620678,5.01330026483452e-07,3.02961289292021e-05,189.385369363133
2,"IGFBP4",0.988381292964322,1.98395773663484,5.3692585350044e-07,3.17939382915059e-05,70832.8609975978
2,"LINC01914",1.20233273297387,2.3011144382544,5.97438501641791e-07,3.43819345697176e-05,33.3652963596908
2,"FGF7",1.14149408078545,2.20609371924824,6.1098023162377e-07,3.49288029176016e-05,1591.44962422549
2,"MIR497HG",1.03992275209581,2.05611755726281,8.24144624809846e-07,4.2857139634758e-05,150.475902624705
2,"HPD",1.78055197258301,3.43557593963757,8.86217541299489e-07,4.51101771166465e-05,92.6877330163976
2,"SIX2",1.0345004773261,2.04840427817031,9.12835131982938e-07,4.61985336681767e-05,671.124181216985
