"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"ATP13A1","ATP13A1",0.903050866840637,9.70761705805463e-55,2.60097448170153e-59,1652.01362647732,16.2406630860605
"HYOU1","HYOU1",1.22908129402834,4.02580958238772e-52,2.71755420029291e-56,4636.15770976105,15.8085249176183
"DPAGT1","DPAGT1",0.745176940614531,4.02580958238772e-52,3.23592121404045e-56,947.887629649528,15.7975212928441
"DNMT1","DNMT1",0.813256654408428,7.39491814819675e-50,9.90665025345866e-54,1920.56907710826,15.4324314669261
"TPP1","TPP1",1.23236128950072,1.27811818172039e-47,2.39713508347205e-51,10095.5057220738,15.0741130238527
"ADAM10","ADAM10",0.830268288177051,2.74114324474458e-46,5.87550463734337e-50,4186.72814245355,14.8613210566077
"MAN2A1","MAN2A1",0.949130666717573,9.92862417497648e-46,2.39417028574306e-49,2755.72011348934,14.7669169227453
"HSPA5","HSPA5",1.07712319388251,4.18202571175615e-45,1.23254515524791e-48,20577.9002716137,14.6560401728623
"SLC12A7","SLC12A7",0.82207927994911,4.98365495187356e-45,1.60233259444532e-48,2877.92861197683,14.6382091717391
"MOGS","MOGS",0.841678341789306,7.85442536400904e-45,2.73578034274087e-48,1418.54392311934,14.6017872919308
"CD163","CD163",1.96267648640081,9.26312039742524e-45,3.47463187750056e-48,29098.1705672438,14.585481227535
"PLXNB2","PLXNB2",0.998646188469269,9.34387769184535e-45,3.75527597936072e-48,9148.76821500568,14.5801795799584
"WDR81","WDR81",0.756050286157136,3.07954471893185e-44,1.32017028381721e-47,2287.44890784696,14.4941022974304
"GIT2","GIT2",0.511630829527522,1.18098519952063e-43,6.32845805278585e-47,2645.72769084408,14.3860776896274
"RPN2","RPN2",0.719084890115545,2.33772872724998e-43,1.37797154568227e-46,8968.75142953186,14.3321453407202
"HSP90B1","HSP90B1",0.915174739839557,3.72200614911427e-43,2.29365649678826e-46,27971.5674199494,14.2967207046898
"SUSD6","SUSD6",0.851287853625644,6.02432325663433e-43,3.87385146315205e-46,3184.33735673545,14.2601923746454
"ABCC10","ABCC10",0.832975594969944,9.73893555168749e-43,6.7843507848746e-46,519.38901534203,14.2210335227323
"PDIA4","PDIA4",0.921287029436209,9.95590686179781e-43,7.20224754892535e-46,7278.71454747754,14.2168501480268
"PCNX3","PCNX3",0.663007947810238,1.29935414929824e-42,9.74785418652058e-46,1814.70549062018,14.1956498906754
"GAK","GAK",0.533910603594426,2.26062027402774e-42,1.75650370942327e-45,2584.97208107955,14.1543111929976
