"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"AC087190.3","AC087190.3",-24.3921202763773,1.24511878321242e-35,6.83535058752024e-38,82.6357140444588,-12.8677626983107
"TMEM173","TMEM173",-1.25631559530444,6.41999115246768e-26,7.16067329658298e-28,5312.76953326693,-10.943224736928
"FLI1","FLI1",-1.25302623727721,8.53383612941296e-26,9.6175450743936e-28,3646.36220897521,-10.9164562498247
"ACSL5","ACSL5",-1.67219169045362,4.595195109693e-24,5.97957304851418e-26,1732.88849772647,-10.5346651047644
"ORAI2","ORAI2",-1.61980696850813,1.50080381029308e-22,2.21886005413959e-24,2859.55737982534,-10.1890658489559
"LAG3","LAG3",-2.90270882926803,5.42552721915176e-21,9.40815542533287e-23,461.96559954435,-9.8181201341028
"RAB29","RAB29",-1.02179318939922,1.23183264195097e-20,2.20404585640118e-22,1621.90287128044,-9.73191471352839
"GNAI2","GNAI2",-1.05442444768863,2.80169639383208e-20,5.23263268628451e-22,31648.8485050468,-9.64358801395751
"ZEB2","ZEB2",-1.26772932199066,5.12083785103668e-20,9.98048738830491e-22,10012.3267944259,-9.57710324439507
"ELMO1","ELMO1",-1.21468854171494,2.86362825781828e-19,6.03035461519185e-21,2770.18531940878,-9.38946891797311
"WIPF1","WIPF1",-1.30066051984783,6.78822161013077e-19,1.47484308248455e-20,7390.61168963523,-9.29479920958595
"HHEX","HHEX",-1.28281119493718,1.24742253352336e-18,2.7718085225554e-20,1038.93169555337,-9.22743851799174
"SEPT6","SEPT6",-1.36153318382316,1.85768379885385e-18,4.18718086415298e-20,2703.53949029761,-9.18313546630299
"DTX3L","DTX3L",-1.47527945752872,5.01229446801111e-18,1.17926063642645e-19,2667.19391465934,-9.07100331332383
"IL4R","IL4R",-1.37083693302704,1.52045693911062e-17,3.78480189618276e-19,3135.09104680933,-8.94307748204632
"SNAI1","SNAI1",-2.21572990557987,1.64275105014309e-17,4.10353753666509e-19,341.97525678423,-8.93414100269743
"SHISA5","SHISA5",-0.899637569913388,2.2692365918865e-17,5.78052890404456e-19,8937.05674177242,-8.8961733075435
"PLSCR1","PLSCR1",-1.6781028113743,2.78084919568415e-17,7.16455570051074e-19,3660.66813335758,-8.87230759997698
"RAB43","RAB43",-1.22654002827072,3.77538850661389e-17,9.85847062694866e-19,1554.30252444089,-8.83670306838679
"PPP1R18","PPP1R18",-1.17603494603715,5.69266688828993e-17,1.5195657227659e-18,5772.80622340783,-8.78821380455116
"ENTPD1","ENTPD1",-1.45742546292606,1.11243575881303e-16,3.02762956316897e-18,3550.91137365765,-8.71041549696971
"AC009948.1","AC009948.1",-0.961531954534326,1.42965331711614e-16,3.96572242897036e-18,294.908543273464,-8.67976934557006
"HAPLN3","HAPLN3",-2.23068670044105,1.72363163269032e-16,4.84126812133013e-18,2070.71079271736,-8.65705083836087
"ARHGEF3","ARHGEF3",-1.06639742062525,1.87551317092315e-16,5.28420987508846e-18,2564.1336384167,-8.64706235637536
"LPCAT1","LPCAT1",-1.1972898815355,2.96140315963736e-16,8.47270277751482e-18,2673.25972238749,-8.59300069128612
"ENG","ENG",-1.83204604935038,3.230340129778e-16,9.27029176315983e-18,18360.2984804475,-8.58266141214984
"IRF9","IRF9",-1.21022268197278,4.12236276300736e-16,1.20337358453073e-17,2949.82601060113,-8.5526086490143
"EPSTI1","EPSTI1",-2.58528498433516,5.11411205058086e-16,1.50773316235029e-17,1751.21897737636,-8.52655284414896
"IL21R","IL21R",-3.70189172901352,5.50184737007798e-16,1.6269929104078e-17,804.729249356897,-8.51773833186038
"GSDMD","GSDMD",-1.10967655507377,6.11211134726921e-16,1.81616414205193e-17,2579.57768302936,-8.50498669926567
"CCR5","CCR5",-3.80944994403724,6.31650866739962e-16,1.88056854423278e-17,1230.92986218061,-8.50094290513124
"EHD4","EHD4",-1.13850678475344,7.41872949683981e-16,2.221653918683e-17,6086.07766903045,-8.48157520493245
"GIMAP5","GIMAP5",-1.37197518904451,7.61638139907329e-16,2.29411743663268e-17,2944.33856684639,-8.4778407183025
"CGAS","CGAS",-1.94053671707055,7.88177975157097e-16,2.38550438629515e-17,355.973143184437,-8.47329354613696
"TNFSF13B","TNFSF13B",-2.42983252090717,8.11893639595336e-16,2.46199883739262e-17,2335.00521821914,-8.46961762770794
"TRIM22","TRIM22",-1.38275699309144,8.74110702369066e-16,2.65574472719311e-17,3642.90447335719,-8.46078902774407
"NRROS","NRROS",-1.63401024085289,9.67777413623871e-16,2.95156931655938e-17,1372.70427103372,-8.44846530898217
"IL4I1","IL4I1",-4.88870586648343,1.02949188298651e-15,3.1457693182927e-17,2148.10599000979,-8.44102125534036
"ZFP82","ZFP82",-0.841718556551388,1.06815444144992e-15,3.27321638122941e-17,252.050762235611,-8.43637848816984
"FCHSD2","FCHSD2",-0.881198253045424,1.17156534280376e-15,3.61392585702798e-17,1836.50373899472,-8.42479170036542
"SLC30A7","SLC30A7",-1.10205430927346,1.23750033327823e-15,3.82090988228989e-17,1533.72839503963,-8.41826797997656
"ICAM1","ICAM1",-2.08995514067391,1.27487750260918e-15,3.94372179702211e-17,4190.77314496263,-8.41456005921875
"IKBIP","IKBIP",-1.12765463544792,1.63281298287578e-15,5.10787609665741e-17,1623.61457482509,-8.38418418564818
"IL18BP","IL18BP",-2.54709512946528,2.00407114171837e-15,6.36240780149348e-17,1139.84020271659,-8.3583081508927
"MLKL","MLKL",-1.54806339320397,2.01433181979579e-15,6.40668450876144e-17,843.178034542066,-8.3574897973038
"APOL1","APOL1",-2.48634633162265,2.15778371436611e-15,6.8817431113454e-17,4432.40898143929,-8.34904446058284
"SP110","SP110",-1.15632977138284,2.28604584809666e-15,7.30408514263486e-17,1550.47902414448,-8.34200583069027
"SAMD9","SAMD9",-1.65995615172559,2.34163583913559e-15,7.50890544442225e-17,1252.3647719786,-8.33873566921827
"SLFN11","SLFN11",-1.36338217404206,2.3534025165399e-15,7.55413121501459e-17,2780.07204993567,-8.33802545907904
"GAB3","GAB3",-1.47485151825328,3.05963064534247e-15,9.93571238960405e-17,419.354367880236,-8.30555119041965
"CSF2RB","CSF2RB",-1.9936145701966,3.86311693705159e-15,1.27020110745393e-16,4369.42199265081,-8.27633894471781
"ARHGEF2","ARHGEF2",-0.951604048894478,4.07758736456568e-15,1.34427258591322e-16,4032.33755348325,-8.26958397915657
"SP100","SP100",-0.723048211742856,4.10304973758044e-15,1.3538586330578e-16,3337.31178530914,-8.26873672711498
"DUSP18","DUSP18",-1.01624808005716,4.27002608993582e-15,1.41267564669365e-16,432.854108665545,-8.26366427573042
"LILRB2","LILRB2",-2.79721330887723,4.65758815645976e-15,1.54495343170589e-16,2838.23225902408,-8.25297812261073
"AC004847.1","AC004847.1",-3.29820640346317,5.44109057892184e-15,1.8159094560187e-16,98.3848178095882,-8.23365184614394
"PARP11","PARP11",-0.845102888861109,6.31076330147346e-15,2.1189852377435e-16,510.405295113059,-8.21515039168421
"C19orf66","C19orf66",-0.885259423276636,6.4036489221113e-15,2.15389376432116e-16,1331.14835340649,-8.21318941252734
"OAS2","OAS2",-2.35807694304221,8.12838728104028e-15,2.76707037683839e-16,2660.35215805731,-8.1830679441012
"FUT4","FUT4",-1.15453168202393,8.9337577893235e-15,3.04901981017053e-16,792.720251254166,-8.17137196296968
"CCR1","CCR1",-2.58553134501091,9.54114094500916e-15,3.27017146366644e-16,3893.0319415089,-8.1629214616283
"ELK3","ELK3",-1.23682713675572,9.82777527916041e-15,3.37983209321655e-16,6801.10918961283,-8.15893795006011
"IGLV3-10","IGLV3-10",-7.15589766219922,1.1535757302055e-14,4.00742585490233e-16,1511.51270643609,-8.13833745705135
"PTGIR","PTGIR",-1.34040926896687,1.2594844957241e-14,4.39363564355944e-16,525.645810953755,-8.12718802990651
"GIMAP4","GIMAP4",-1.26230959952102,1.34700883834231e-14,4.72243426245837e-16,5050.62164065661,-8.11843245274051
"PHTF1","PHTF1",-1.04673020166974,1.56295944835997e-14,5.51130698939528e-16,601.919819097664,-8.09965984258696
"IGKV1-17","IGKV1-17",-6.96123119128038,1.89342901735588e-14,6.74810446234362e-16,2429.89678498175,-8.07499204590355
"PTPN18","PTPN18",-0.953548101656527,2.11725792594438e-14,7.58272052599461e-16,3499.64204931878,-8.06075090228616
"CCL7","CCL7",-7.35749109183153,2.46208727733584e-14,8.91780769965666e-16,198.025193378002,-8.0409040370271
"IFIT5","IFIT5",-1.03790820608592,2.49555213614632e-14,9.05351637634121e-16,1448.91566035146,-8.03905334440191
"PARP9","PARP9",-1.41266209573808,3.15101239836519e-14,1.15321122979555e-15,3283.70797502003,-8.00934484827637
"CCDC88A","CCDC88A",-1.27749227759176,3.27375136350342e-14,1.20193497254221e-15,4874.65864125159,-8.0042535645414
"TRIM38","TRIM38",-0.8555696047835,3.44253084585659e-14,1.26490110375525e-15,2025.46209252086,-7.9979671452968
"JAK3","JAK3",-2.73291860152228,3.63068572842601e-14,1.33799879496241e-15,1035.72511590461,-7.99104483786511
"IFI16","IFI16",-1.12943288341796,3.74461128939214e-14,1.38568455405065e-15,8310.65015212771,-7.9867270284858
"CYTH4","CYTH4",-1.86882168451635,3.77212864756357e-14,1.39696294459264e-15,3998.81661126281,-7.98572721574891
"CCNYL1","CCNYL1",-0.808855526800992,4.45520653291728e-14,1.65769709790491e-15,1458.08876556079,-7.96459207541505
"IGHV2-5","IGHV2-5",-6.71079513782718,4.97826544853316e-14,1.86099327066985e-15,2326.86888028664,-7.95027407992984
"DPYSL2","DPYSL2",-1.0567720756678,6.26585384648463e-14,2.36780407060431e-15,10557.1044299093,-7.92038283271926
"IL12RB1","IL12RB1",-2.4889408686757,6.48768040184104e-14,2.45728338677841e-15,528.928916309788,-7.91576958017542
"SERPINB9","SERPINB9",-1.6504808000923,6.51189634307027e-14,2.4702383594893e-15,922.916128190623,-7.91511541243584
"PLEKHG2","PLEKHG2",-1.45079969598594,6.51189634307027e-14,2.46881184037023e-15,981.592366271723,-7.91518727948931
"SENCR","SENCR",-1.35458417595338,6.63939196740203e-14,2.52631679949363e-15,133.712863304057,-7.91232212630301
"DISC1","DISC1",-1.29830351282414,6.72948850474038e-14,2.56441531198596e-15,483.871242228633,-7.91045904489446
"FES","FES",-1.02931863969949,6.72948850474038e-14,2.56450822534547e-15,1511.37909067402,-7.91045453467547
"MICB","MICB",-1.81329112001463,6.99511732504039e-14,2.66979904876934e-15,344.672617686707,-7.90544417177363
"IGHV7-4-1","IGHV7-4-1",-7.41184177300022,7.36588952971165e-14,2.82414725781904e-15,1190.11923716837,-7.89844041602355
"SH2B3","SH2B3",-1.33853652151161,7.55023607947302e-14,2.90579261220569e-15,3982.25333658199,-7.89488662485385
"IFNAR2","IFNAR2",-1.30725416018384,7.67765100078808e-14,2.95705972668903e-15,1498.59013586131,-7.89270502482737
"KLHDC7B","KLHDC7B",-3.81659912264483,8.57635478178709e-14,3.32810793205169e-15,254.545493543152,-7.87794438069715
"RAB31","RAB31",-1.37739129257552,9.43082165331978e-14,3.68160343385087e-15,10972.2261160403,-7.86531822519848
"CD300E","CD300E",-3.62772232327018,1.08511931225027e-13,4.26130274823506e-15,1855.20054444551,-7.84699322132807
"GPR84","GPR84",-4.16184394733375,1.17771562122374e-13,4.6386150295672e-15,170.799779886469,-7.83634196831477
"ASAP1","ASAP1",-1.00876763290757,1.18566646418085e-13,4.68026235860862e-15,2843.02632179016,-7.83521899836832
"IL27RA","IL27RA",-1.74946341014293,1.21322688865724e-13,4.80314932392184e-15,1134.3633862473,-7.8319619445038
"PTGER2","PTGER2",-1.98785982161544,1.28330458508385e-13,5.09549601431863e-15,1113.52337682995,-7.82453182937791
"STX2","STX2",-0.890284437169913,1.34301559684223e-13,5.3403867551906e-15,1035.43834366849,-7.81862399044733
"PIP4K2A","PIP4K2A",-1.05097474826421,1.34344566852251e-13,5.34599908759102e-15,2870.96163747193,-7.81849174493341
"TPK1","TPK1",-1.08371742669574,1.35189153661431e-13,5.39138805556943e-15,430.273215735101,-7.81742722232643
"CASP8","CASP8",-0.971458595321158,1.5175835300643e-13,6.10506909823127e-15,914.52198473098,-7.80175789045939
"XAF1","XAF1",-1.89830631286507,1.57056471795272e-13,6.32276838353222e-15,1301.99690967687,-7.79733608752973
"ST8SIA4","ST8SIA4",-1.86751255211075,1.8392057503626e-13,7.4630255410031e-15,1838.60523630709,-7.77637839477818
"MCTP1","MCTP1",-1.47575805992654,1.86845353391762e-13,7.58713268391085e-15,2187.15799422438,-7.774290694636
"HLA-F","HLA-F",-1.74727998199403,1.87707640702376e-13,7.62759931865413e-15,5779.31991880345,-7.77361723568794
"IGLV8-61","IGLV8-61",-6.948607667174,2.04932064728305e-13,8.36323779897956e-15,1454.84524885228,-7.76195151857669
"AIM2","AIM2",-3.75264520094528,2.06417273572029e-13,8.42984450570094e-15,374.011078089438,-7.76094564160967
"FXYD5","FXYD5",-1.40672440790711,2.07964425783242e-13,8.51115010830103e-15,5479.75673515585,-7.75972833428176
"MGAT2","MGAT2",-0.885804620597763,2.09726732599722e-13,8.58936600922527e-15,2706.48456734266,-7.75856803857803
"ACTB","ACTB",-1.12474876630944,2.21086132566252e-13,9.08669912807152e-15,241303.794894812,-7.75142502402176
"SLAMF8","SLAMF8",-3.72312391716325,2.46353818593915e-13,1.01609858952992e-14,3157.72123656209,-7.73722536222492
"ADAMTS4","ADAMTS4",-3.03638842867753,2.66819640041138e-13,1.10826096566407e-14,683.013311436688,-7.72617517346453
"RAB8B","RAB8B",-1.01036041571891,2.70895028640554e-13,1.12597532817658e-14,2433.88958176932,-7.72415526006211
"NOL4L","NOL4L",-1.22767494807721,2.86255674086712e-13,1.19314770626941e-14,804.733201742144,-7.71676989611051
"DUSP6","DUSP6",-1.20293920745304,2.99418868541662e-13,1.24975285841283e-14,3841.62256805452,-7.71085735809856
"IL6","IL6",-4.4581542822872,3.05612411566747e-13,1.27826731920563e-14,278.55886394915,-7.70797804468583
"TGFB1","TGFB1",-1.22554125650689,3.16862427920207e-13,1.33084428596671e-14,8387.28379020315,-7.7028308966976
"SLC2A6","SLC2A6",-2.50653376254091,3.20124312504295e-13,1.3454742656957e-14,576.525408020943,-7.70143422627131
"IGHV3-66","IGHV3-66",-6.89261707508201,3.24266656775886e-13,1.36476817029237e-14,730.697005835874,-7.69961498264408
"GLIS3","GLIS3",-1.96749185677018,3.31772602435452e-13,1.39732274175498e-14,837.246085911839,-7.69660199258723
"KYNU","KYNU",-2.58021211063729,3.45505642557087e-13,1.45616558426378e-14,2134.62198866996,-7.69132715330724
"FMNL3","FMNL3",-1.38046277588519,3.89052030263617e-13,1.64986628379482e-14,3021.95657535176,-7.67533521170392
"SOCS3","SOCS3",-2.14596112118985,4.06971582068495e-13,1.73413300480563e-14,5995.26680940536,-7.66894756799016
"MMP1","MMP1",-6.03818112363648,4.29376177384774e-13,1.8320948198508e-14,26983.233438126,-7.66189494481199
"EPB41L3","EPB41L3",-1.58279546420123,4.67552422503917e-13,2.00313646797165e-14,7680.30150912715,-7.65042660350952
"CERS2","CERS2",-0.664031500091588,4.68766393817292e-13,2.00969907422541e-14,5733.93873125194,-7.65000601811989
"IFI35","IFI35",-1.40453651041281,4.79273280051572e-13,2.05892059136829e-14,1882.72081991773,-7.64689390756086
"IER5L","IER5L",-1.24696904062497,4.81220172811479e-13,2.06868204880036e-14,2585.64660184688,-7.64628542823635
"FUT11","FUT11",-0.888443894084689,5.77412543068865e-13,2.50399943883413e-14,1398.00590454316,-7.62167753270669
"RGS16","RGS16",-2.1844525203863,6.80849471075133e-13,2.97431626727373e-14,1348.05307105896,-7.59943273719392
"AC098613.1","AC098613.1",-4.46065121938903,6.86788115345214e-13,3.0022543092673e-14,50.1034551836394,-7.59822266854797
"BISPR","BISPR",-1.39868787677816,7.25329904442154e-13,3.18337831303618e-14,225.005406242833,-7.59063650186909
"ATP11C","ATP11C",-1.19305935261655,8.15504722170444e-13,3.59572489907846e-14,1350.32793766242,-7.57483928367612
"GLIPR1","GLIPR1",-1.45988057620714,8.71228088471775e-13,3.8566039468775e-14,5327.46006696816,-7.5657407946986
"CXCL8","CXCL8",-4.85501113834585,9.71504409663508e-13,4.33153034981261e-14,1106.44264280206,-7.55063142992576
"GBP5","GBP5",-3.17402710895061,1.00334870636323e-12,4.48516805824623e-14,1529.82465032385,-7.54609097292155
"SAMD9L","SAMD9L",-1.8542390784824,1.00837031173317e-12,4.51347348199377e-14,1783.19335399104,-7.54527117437588
"CHST11","CHST11",-1.98417525733166,1.14145516597791e-12,5.12905525086507e-14,2362.6229154877,-7.52859154479736
"DRAM1","DRAM1",-1.69302646572683,1.24766925334874e-12,5.63893737135655e-14,3533.12253950239,-7.51620439221651
"SOAT1","SOAT1",-1.34050445053271,1.24766925334874e-12,5.63649974142844e-14,1955.04230184666,-7.51626094974541
"FYB1","FYB1",-2.04983128602534,1.27579654673911e-12,5.7734722313801e-14,4994.79267757506,-7.51311963183326
"GIMAP2","GIMAP2",-1.41652392967658,1.36022966069987e-12,6.18322127046386e-14,1319.1827478351,-7.50414207652215
"CYP20A1","CYP20A1",-0.564918095410722,1.36063516682469e-12,6.1890167051454e-14,707.203191594878,-7.50401934006682
"TLR8","TLR8",-2.43354808260135,1.42941446018495e-12,6.53508295669544e-14,1508.0492147142,-7.49688788428767
"SH3TC1","SH3TC1",-1.61693747436116,1.50354509193252e-12,6.88709948291388e-14,1644.40078814845,-7.49000499120615
"TMEM255B","TMEM255B",-1.46147770492989,1.68510740549644e-12,7.7579157595906e-14,755.512052282733,-7.47436225839629
"TNFRSF1B","TNFRSF1B",-1.67013104677127,1.70101144326889e-12,7.84101649955773e-14,7390.76837772436,-7.47296087794679
"GPR183","GPR183",-2.32009337059921,1.74184610153309e-12,8.03936753612201e-14,1530.96970645971,-7.46967410480216
"TNFRSF10B","TNFRSF10B",-1.07373759738544,1.77428437863245e-12,8.19939132800115e-14,1483.92455360933,-7.46708001642468
"AC007384.1","AC007384.1",-2.63126812084792,1.80343938239699e-12,8.33936184726389e-14,64.2520067168178,-7.46485148493862
"BTN3A3","BTN3A3",-1.24468961083731,1.80494334636802e-12,8.35155905299251e-14,1735.60618878934,-7.46465903276591
"TYMP","TYMP",-2.36983240267807,2.04451949701007e-12,9.50165910077876e-14,20247.6946763908,-7.44765124917164
"THEMIS2","THEMIS2",-1.98652673268937,2.15397413866618e-12,1.00478751792084e-13,3842.36519437121,-7.44027126985682
"GBP4","GBP4",-1.94276608289379,2.15631545945406e-12,1.0065060251373e-13,2616.72553942813,-7.44004553190101
"VIM","VIM",-1.0487045842728,2.19000638759576e-12,1.02414031719216e-13,260419.157986547,-7.43775078729487
"IRF1","IRF1",-1.67722801031022,2.19970791836271e-12,1.02931609634087e-13,4158.68527655095,-7.43708463360717
"MFNG","MFNG",-1.0633511756027,2.29543012053315e-12,1.07944154907145e-13,1723.51006485577,-7.43079836404996
"CXCL3","CXCL3",-4.242743831657,2.33812262154886e-12,1.1008762546563e-13,241.971548086305,-7.42819735245621
"ROCK1","ROCK1",-0.743922094797045,2.37939772419771e-12,1.12100125149549e-13,4650.37135719584,-7.42580017933624
"DENND5A","DENND5A",-0.766154797705956,2.45246641810909e-12,1.1568506631257e-13,4991.5838662714,-7.42163292712636
"SLAMF7","SLAMF7",-3.88077453599694,2.47591901808931e-12,1.16863262588449e-13,1999.07979724593,-7.42029102354531
"CYBB","CYBB",-2.38873146261977,2.75258493491995e-12,1.30241688712228e-13,25546.1658308071,-7.4059226968597
"FOXP1","FOXP1",-1.00993933987475,2.92061229665335e-12,1.38361759493482e-13,4873.52865591108,-7.39789348541089
"POU2F2","POU2F2",-2.24789073381861,3.02562979579228e-12,1.43688413968873e-13,1274.98416548573,-7.39287419628205
"IRAK3","IRAK3",-1.16946891377188,3.03762802670804e-12,1.44346446255791e-13,1678.49169076065,-7.3922668658943
"SELE","SELE",-4.01312061800769,3.04873881642139e-12,1.45051533092199e-13,1746.80885283353,-7.39161911845503
"CLIC2","CLIC2",-0.995502783131841,3.19447343665706e-12,1.52449165110594e-13,2673.32854925249,-7.38500368605107
"SP140L","SP140L",-1.14432416933636,3.30031501832969e-12,1.57787804117889e-13,508.637474868346,-7.38042266855241
"UBA7","UBA7",-1.24922779674586,3.45416413075779e-12,1.66046288962593e-13,1752.59762534504,-7.37362785593759
"PARP14","PARP14",-1.68209814003546,3.76110735873382e-12,1.81893916355635e-13,3196.73396727117,-7.36147145393006
"CYTIP","CYTIP",-2.36014861121481,3.91980185396037e-12,1.89910232729345e-13,1795.00883463079,-7.35571330122109
"PTPRC","PTPRC",-2.18003938359464,4.25128876424808e-12,2.06587838462502e-13,8381.68846246392,-7.34446234699058
"CASP10","CASP10",-1.27316293276513,4.26668457146433e-12,2.07459915552204e-13,980.229371235258,-7.34389886141482
"CD14","CD14",-2.22173280158739,4.42668206052594e-12,2.15625241533113e-13,27017.1034091825,-7.33873302026848
"ATP8B3","ATP8B3",-1.81165935904898,4.64777914193953e-12,2.27204958054033e-13,84.474651068566,-7.3317273614731
"SEC24D","SEC24D",-1.07879869026389,4.72140834435383e-12,2.31210130422205e-13,3642.83196394796,-7.32938566837378
"RAB27A","RAB27A",-0.961060196268274,4.90661143401915e-12,2.40855504923097e-13,1866.49828732413,-7.32390595805244
"RASAL3","RASAL3",-2.04096300556104,4.98541802043642e-12,2.44868765904438e-13,745.296715282167,-7.32168920003276
"CHN1","CHN1",-1.897047132423,5.04238871823634e-12,2.4795991925102e-13,763.663583946221,-7.32000597268364
"VASH1","VASH1",-1.31635465307822,5.39034008487706e-12,2.66009869995531e-13,2767.69692319307,-7.3105708362752
"ARSB","ARSB",-1.29225360930086,5.58248238753096e-12,2.76140568896399e-13,1602.31798482963,-7.30554722606889
"TRIM21","TRIM21",-0.98072657852112,5.82483364344245e-12,2.88636173919856e-13,1042.67741142985,-7.29959455073487
"IL2RG","IL2RG",-2.70669670184646,5.96122297898713e-12,2.95740933197107e-13,1843.35796620029,-7.29632187203908
"LETM2","LETM2",-0.95367944487121,6.80450087141398e-12,3.40541274585985e-13,94.3698291443967,-7.27731033497264
"PCDH17","PCDH17",-2.42944041875113,6.9319906083735e-12,3.47324381301391e-13,677.663815058706,-7.2746482030522
"CCL3","CCL3",-4.12799348055871,6.9445951065873e-12,3.48359351373192e-13,434.388011358314,-7.27424650935701
"IGHV1-69","IGHV1-69",-6.84087543828714,6.96015177001683e-12,3.49341880405167e-13,2207.59499178657,-7.27386625213207
"IGHV1-46","IGHV1-46",-6.17321789145994,7.15671294503147e-12,3.59623370364367e-13,3073.13085040474,-7.26994895329668
"CEACAM21","CEACAM21",-2.51353223590521,8.05988262462155e-12,4.08284980171372e-13,124.786051132817,-7.2527859758648
"CD226","CD226",-2.26908488618324,8.0614185394339e-12,4.08596937124206e-13,522.74521782282,-7.25268256473256
"TGIF2","TGIF2",-0.966689200896265,8.97479644277439e-12,4.57238089944995e-13,519.245747621211,-7.23743846397271
"BTN3A1","BTN3A1",-1.20646321756764,1.00814570358749e-11,5.17425775020068e-13,1844.13071311856,-7.2206423403591
"NAIP","NAIP",-1.8842444734532,1.01918938531269e-11,5.23685959863526e-13,1637.92816631307,-7.21900690662745
"SGTB","SGTB",-1.04065257102756,1.0634856752913e-11,5.47991050298235e-13,968.826232960904,-7.21283424666522
"FCGR2A","FCGR2A",-2.09164583140152,1.06527654634461e-11,5.49532690341591e-13,7111.6499816133,-7.2124518410532
"IL7R","IL7R",-3.08058929157933,1.13057432227546e-11,5.84530699910049e-13,2898.88624847126,-7.20404264852466
"CCRL2","CCRL2",-2.12846749137053,1.14465156527498e-11,5.9268759751997e-13,397.327821297097,-7.20215385404616
"LYN","LYN",-1.6094981625643,1.14465156527498e-11,5.92806361358573e-13,5324.09669873469,-7.20212654224396
"FAM198B","FAM198B",-1.39087412923967,1.15264247449867e-11,5.972795905965e-13,10185.0559338654,-7.20110173791615
"ERO1B","ERO1B",-0.860856987171064,1.22418073932388e-11,6.36127379647503e-13,433.471102159307,-7.19250607078875
"IL3RA","IL3RA",-1.68651390128527,1.30773094583135e-11,6.81902230451303e-13,1316.76049668368,-7.1830157868399
"IGLV9-49","IGLV9-49",-7.31152182633737,1.31886387673905e-11,6.88392699692131e-13,340.742992684866,-7.18172104726723
"SRGN","SRGN",-2.34850140181836,1.34979280812649e-11,7.04928392300285e-13,19690.5090546068,-7.17847584995785
"RTP4","RTP4",-1.73485943912508,1.41313092177231e-11,7.40469438502746e-13,250.271153050345,-7.17174653361668
"P2RY6","P2RY6",-2.12189522298118,1.49470723729586e-11,7.86253865093181e-13,642.827905634335,-7.16353045255145
