"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"USP24","USP24",-0.886363727720354,4.87804731483638e-10,1.84292845020076e-14,2164.98164696007,-7.66113789723272
"LNPEP","LNPEP",-0.902409453617765,1.52068880223339e-09,1.14903381482745e-13,2328.78175910466,-7.42253065690877
"FRYL","FRYL",-0.68406027817666,1.83623189638686e-09,2.77491691622178e-13,1763.24904189734,-7.30489095530542
"IGHJ6","IGHJ6",-6.1090882581461,1.83623189638686e-09,2.12596086920356e-13,276.370369292287,-7.3406266509023
"IGF2R","IGF2R",-1.17916936790686,2.17382655482072e-09,4.92763584907791e-13,6645.93534288207,-7.22727997032886
"TMEM63A","TMEM63A",-0.799367530208002,2.17382655482072e-09,4.71298152973625e-13,985.620825672497,-7.23332831668802
"EP300","EP300",-0.777257528052662,2.72518974040324e-09,7.20704529178385e-13,2858.66746581954,-7.17544863530263
"HERC1","HERC1",-0.870627751270833,4.97384664190406e-09,1.50329718293976e-12,2390.65337286169,-7.07418491485962
"AC007406.5","AC007406.5",-0.742348422892186,9.88790129546242e-09,4.63918739075404e-12,171.61680587988,-6.91620017937304
"HUWE1","HUWE1",-0.815548696627013,9.88790129546242e-09,4.85634957274591e-12,5486.8208153648,-6.90971306831039
"LTN1","LTN1",-0.557839786805134,9.88790129546242e-09,4.62943490318575e-12,1005.21121044955,-6.91649844714339
"PIEZO1","PIEZO1",-1.04632562615039,9.88790129546242e-09,4.02777217295787e-12,5385.89914865389,-6.93620352605041
"POLR2A","POLR2A",-0.958153012476854,9.88790129546242e-09,4.68133312387099e-12,5230.72852937576,-6.91491823233757
"RANBP2","RANBP2",-0.639601726912486,1.29475477748521e-08,6.84822504998031e-12,3544.78782211594,-6.86078691427077
"KMT2D","KMT2D",-1.16039641908351,1.50934315366225e-08,8.55345774488414e-12,2214.39162575539,-6.82895637564496
"UBR4","UBR4",-0.701237657726643,2.4082772019761e-08,1.45575712084392e-11,3554.17140471546,-6.75224406749023
"AC000123.3","AC000123.3",-0.881269427746563,3.14170213308598e-08,2.01779199299035e-11,76.1903664607096,-6.70472993180411
"PRR12","PRR12",-0.862519824808539,3.14178907689132e-08,2.136544764972e-11,1735.72951263183,-6.6963740158234
"ANKRD52","ANKRD52",-0.984449676202421,3.37387578519598e-08,2.93676088192009e-11,1468.21034771614,-6.64970748305812
"FAM199X","FAM199X",-0.593116591907082,3.37387578519598e-08,2.9744829889354e-11,1237.0558942321,-6.64782864473228
"HTT","HTT",-0.711484548796921,3.37387578519598e-08,3.05916426176673e-11,3286.70284178071,-6.64369445092378
"KLHL28","KLHL28",-0.458619989569759,3.37387578519598e-08,2.71161818127337e-11,605.008616567954,-6.66143765904317
"PRDM10","PRDM10",-0.606299594199287,3.37387578519598e-08,2.8065743747434e-11,284.090252970357,-6.65637823679235
"UHMK1","UHMK1",-0.739815518658429,3.37387578519598e-08,2.60815413038271e-11,3155.06475654447,-6.66715173380778
"SRCAP","SRCAP",-1.27021423338954,3.48285538062902e-08,3.53571946591717e-11,2091.21433610011,-6.62233361435085
"TAOK1","TAOK1",-0.746332529950842,3.48285538062902e-08,3.55272565178071e-11,3317.77938165289,-6.62162451883092
"ZNF81","ZNF81",-0.818538516917345,3.48285538062902e-08,3.44133276186536e-11,183.865898194064,-6.62633090154257
"ATP11A","ATP11A",-0.932554671748546,3.78086847095983e-08,4.22710931637896e-11,1816.67898890378,-6.595890467588
"BIRC6","BIRC6",-0.666462875622416,3.78086847095983e-08,4.13360900180437e-11,2222.39780015178,-6.59920768914589
"NCOA3","NCOA3",-0.647200677092133,3.78086847095983e-08,4.2852413815707e-11,2105.78624865917,-6.59386405201754
"CD46","CD46",-0.622720334264853,4.79870906964295e-08,6.62175426399214e-11,4828.14230222895,-6.52898350449659
"CELSR1","CELSR1",-1.47958680695857,4.79870906964295e-08,6.0508137478371e-11,743.665155587221,-6.5424770157766
"EPG5","EPG5",-0.727211809851532,4.79870906964295e-08,6.32140666899874e-11,931.626930600137,-6.53593334317398
"HIPK1","HIPK1",-0.730280640692834,4.79870906964295e-08,6.56904461749496e-11,3204.67551062486,-6.5301805687629
"NUP153","NUP153",-0.540772113148999,4.79870906964295e-08,6.50830633192589e-11,1636.17118371717,-6.53157167273573
"UGGT1","UGGT1",-0.840963938908638,4.79870906964295e-08,6.70793137545012e-11,2734.15270655025,-6.52704630622559
"XPO1","XPO1",-0.465441720220567,4.79870906964295e-08,6.22926491968612e-11,3606.84669466985,-6.53813028773649
"TMEM131","TMEM131",-0.72034425367156,5.48126101483636e-08,7.86912684890936e-11,1753.77255172438,-6.50308124298937
"UBR2","UBR2",-0.566026835030074,5.54370610020373e-08,8.16821708065834e-11,1799.97231114446,-6.49746963724772
"RBM12B","RBM12B",-0.563181007958244,5.95753160705585e-08,9.00303238816102e-11,546.380627127789,-6.48280920103288
"KMT2C","KMT2C",-0.707058942607083,6.3624698579123e-08,9.85535018982222e-11,2065.29216115398,-6.46915341030729
