"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"ATP13A1","ATP13A1",0.903050866840637,9.70761705805463e-55,2.60097448170153e-59,1652.01362647732,16.2406630860605
"DPAGT1","DPAGT1",0.745176940614531,4.02580958238772e-52,3.23592121404045e-56,947.887629649528,15.7975212928441
"HYOU1","HYOU1",1.22908129402834,4.02580958238772e-52,2.71755420029291e-56,4636.15770976105,15.8085249176183
"SMIM19","SMIM19",-0.918980671924016,7.49395559812998e-52,8.03146113456044e-56,1213.69821702797,-15.7401016078669
"DNMT1","DNMT1",0.813256654408428,7.39491814819675e-50,9.90665025345866e-54,1920.56907710826,15.4324314669261
"TATDN1","TATDN1",-0.775233223797568,3.95745373909216e-49,6.36195440735015e-53,675.535612235046,-15.3119579557593
"TPP1","TPP1",1.23236128950072,1.27811818172039e-47,2.39713508347205e-51,10095.5057220738,15.0741130238527
"ADAM10","ADAM10",0.830268288177051,2.74114324474458e-46,5.87550463734337e-50,4186.72814245355,14.8613210566077
"MAN2A1","MAN2A1",0.949130666717573,9.92862417497648e-46,2.39417028574306e-49,2755.72011348934,14.7669169227453
"FMC1","FMC1",-1.20942004956548,1.54550184631794e-45,4.14088322567301e-49,353.661198353628,-14.7299375514494
"HSPA5","HSPA5",1.07712319388251,4.18202571175615e-45,1.23254515524791e-48,20577.9002716137,14.6560401728623
"SLC12A7","SLC12A7",0.82207927994911,4.98365495187356e-45,1.60233259444532e-48,2877.92861197683,14.6382091717391
"MOGS","MOGS",0.841678341789306,7.85442536400904e-45,2.73578034274087e-48,1418.54392311934,14.6017872919308
"CD163","CD163",1.96267648640081,9.26312039742524e-45,3.47463187750056e-48,29098.1705672438,14.585481227535
"PLXNB2","PLXNB2",0.998646188469269,9.34387769184535e-45,3.75527597936072e-48,9148.76821500568,14.5801795799584
"WDR81","WDR81",0.756050286157136,3.07954471893185e-44,1.32017028381721e-47,2287.44890784696,14.4941022974304
"SPAG16","SPAG16",-0.839062079965355,3.939197711808e-44,1.79423843476505e-47,450.522667343437,-14.4730178583576
"XPA","XPA",-0.476947523332024,3.96975463275435e-44,1.91451875223263e-47,655.640184654671,-14.4685550668707
"HSPB2","HSPB2",-1.62220473095665,4.09268830695904e-44,2.08346268607084e-47,416.745169681252,-14.4627366947099
"GIT2","GIT2",0.511630829527522,1.18098519952063e-43,6.32845805278585e-47,2645.72769084408,14.3860776896274
"SLC2A4RG","SLC2A4RG",-0.873077208972056,1.19574477757987e-43,6.72792656784754e-47,3862.1248211606,-14.3818425042834
"RPN2","RPN2",0.719084890115545,2.33772872724998e-43,1.37797154568227e-46,8968.75142953186,14.3321453407202
"HSP90B1","HSP90B1",0.915174739839557,3.72200614911427e-43,2.29365649678826e-46,27971.5674199494,14.2967207046898
"SUSD6","SUSD6",0.851287853625644,6.02432325663433e-43,3.87385146315205e-46,3184.33735673545,14.2601923746454
"HSPB2-C11orf52","HSPB2-C11orf52",-1.66318945597629,8.60156617115421e-43,5.76157206759519e-46,546.702533842495,-14.2324635812366
"ABCC10","ABCC10",0.832975594969944,9.73893555168749e-43,6.7843507848746e-46,519.38901534203,14.2210335227323
"PDIA4","PDIA4",0.921287029436209,9.95590686179781e-43,7.20224754892535e-46,7278.71454747754,14.2168501480268
"PCNX3","PCNX3",0.663007947810238,1.29935414929824e-42,9.74785418652058e-46,1814.70549062018,14.1956498906754
"GAK","GAK",0.533910603594426,2.26062027402774e-42,1.75650370942327e-45,2584.97208107955,14.1543111929976
"DCTN6","DCTN6",-0.572877659557204,2.6503833291234e-42,2.13036197180565e-45,1497.40825182582,-14.1407387409662
"ZFYVE21","ZFYVE21",-0.665683493087964,7.42774932992337e-42,6.16939231111177e-45,2286.72374033672,-14.0657175350934
"AAMDC","AAMDC",-1.15602806481822,8.30620188441526e-42,7.12157276481762e-45,697.475772139727,-14.0555605987757
"VAV2","VAV2",0.715541765931858,1.26306749755651e-41,1.11677055486871e-44,1154.54427969587,14.0236758990446
"NDUFS4","NDUFS4",-0.912085989175785,1.36868973462351e-41,1.24683039887467e-44,1559.71994141046,-14.0158575498273
"SLC12A9","SLC12A9",0.684499584869772,2.27542440904247e-41,2.13380098910823e-44,1783.05940902217,13.9776630967501
"CCNB1IP1","CCNB1IP1",-0.814599244457211,2.3222809400163e-41,2.2399623245877e-44,796.318616904992,-13.9742064907971
"HINT2","HINT2",-0.876287906621005,3.09248338271207e-41,3.06572047156838e-44,800.167298176791,-13.9518447125489
"DNAJC19","DNAJC19",-0.759063321239159,4.10187644040185e-41,4.26670193685189e-44,896.560152596564,-13.9282520332771
"ITGB1BP1","ITGB1BP1",-0.835863680526662,4.10187644040185e-41,4.28618227837184e-44,3443.8429239326,-13.9279266369907
"MOCS2","MOCS2",-0.575678459205972,7.75538106116259e-41,8.31163739373854e-44,1386.9457932715,-13.8805391650405
"TMPPE","TMPPE",1.0480027122068,1.37572865191552e-40,1.51126315485187e-43,105.384854911265,13.8376208068842
