"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"TUBB2B","TUBB2B",1.44965929638658,8.97957359667121e-07,4.08817762854887e-09,1097.63715758481,5.88058550032984
"TPST1","TPST1",0.623135834963197,9.96806475764091e-07,4.92395066148971e-09,995.990706256493,5.84972207441257
"CFHR1","CFHR1",2.47856319173829,4.29544876122487e-06,3.50529650694991e-08,81.0191952890336,5.51411986493738
"LINC00603","LINC00603",2.12203437688793,6.1150017562462e-06,5.56489606953046e-08,20.9093637717654,5.43224655241331
"FAM162B","FAM162B",0.969102246991355,8.79851394294575e-06,8.94178189826743e-08,167.023172178099,5.3470125488832
"C1orf123","C1orf123",0.546540338444864,1.44542504272191e-05,1.73108065489004e-07,1856.30034243903,5.22611569540918
"SPATA7","SPATA7",0.552585977732599,1.71643917441367e-05,2.24371133910283e-07,265.323623936773,5.17792188537244
"DIRAS3","DIRAS3",1.50328148147618,1.91253315281557e-05,2.58928434925929e-07,207.848154311735,5.15112506982813
"LINC01121","LINC01121",1.59739238399388,2.73150352111574e-05,4.31360637661558e-07,33.9337426597084,5.0545703941007
"C16orf89","C16orf89",1.96988758140344,3.02961289292021e-05,5.01330026483452e-07,189.385369363133,5.02580311478431
"IGFBP4","IGFBP4",0.988381292964322,3.17939382915059e-05,5.3692585350044e-07,70832.8609975978,5.01262459762954
"LINC01914","LINC01914",1.20233273297387,3.43819345697176e-05,5.97438501641791e-07,33.3652963596908,4.99204332097197
"FGF7","FGF7",1.14149408078545,3.49288029176016e-05,6.1098023162377e-07,1591.44962422549,4.98771369174391
"MIR497HG","MIR497HG",1.03992275209581,4.2857139634758e-05,8.24144624809846e-07,150.475902624705,4.9295613262883
"HPD","HPD",1.78055197258301,4.51101771166465e-05,8.86217541299489e-07,92.6877330163976,4.91535493103164
"SIX2","SIX2",1.0345004773261,4.61985336681767e-05,9.12835131982938e-07,671.124181216985,4.90955453372244
"EFEMP2","EFEMP2",0.554678482838262,4.98080795561954e-05,1.01990929462609e-06,4567.13149653108,4.88775773172462
"FANK1","FANK1",0.619002997549846,4.98990290850561e-05,1.02457332377406e-06,39.4967894105119,4.8868591596461
"NNMT","NNMT",0.949246735849602,6.19709099634148e-05,1.36498491811748e-06,13458.1325137968,4.83005040533179
"BEX3","BEX3",0.627068305132139,6.57108321690527e-05,1.48456978492174e-06,2461.50079401249,4.81330160212528
"INSC","INSC",1.7900540074998,6.69883030545967e-05,1.51596182438715e-06,12.5896491481506,4.80912000319394
"SYTL2","SYTL2",0.593172027796219,7.36379065890154e-05,1.74432838999248e-06,1146.25271743222,4.78099138427403
"PROK1","PROK1",3.36608638727843,7.64085131402678e-05,1.83732452786223e-06,26.4181355074854,4.77054026462067
"IGF1","IGF1",1.26367152426728,7.64085131402678e-05,1.83673315779039e-06,7315.55058918151,4.77060510345105
"CPB1","CPB1",1.44893954717897,9.78643488367386e-05,2.48829599785126e-06,80.0140337290641,4.7090863881478
"AGT","AGT",1.76146187061549,0.000106034277258093,2.78816188641932e-06,898.264546179324,4.68583840739602
"PLPP1","PLPP1",0.783131859773978,0.000122362094788751,3.40261453606322e-06,6722.77902375105,4.64488772331531
"AC006441.4","AC006441.4",1.07934015091819,0.000130242758034049,3.71503578962964e-06,14.832966447529,4.62671924016399
"MNS1","MNS1",0.563490980935095,0.000134917085792221,3.88509213972987e-06,166.487531997189,4.61743665741998
"HOXA-AS2","HOXA-AS2",0.634840064161086,0.000138315233892723,4.02367789101956e-06,53.1722998656538,4.61015555333899
"ID3","ID3",0.719716074182559,0.000150496111034822,4.45762783071898e-06,5392.7260059284,4.58881803301899
"FHL2","FHL2",0.736777862631873,0.000226467803276376,7.53943117230132e-06,1268.99489065139,4.47786199752631
"PRTFDC1","PRTFDC1",0.623672178956675,0.000230462853962074,7.73686259303035e-06,288.433723559801,4.47233905786027
"TMEM98","TMEM98",0.698326328856521,0.000236967893008693,8.0484391482419e-06,1773.1453364423,4.46389134113261
"SERPINF1","SERPINF1",0.594874997139807,0.000244053104753017,8.35362548287556e-06,16765.7978793001,4.45591467412893
"AL161908.1","AL161908.1",1.09573043575089,0.000256248023942719,8.86785257967926e-06,9.08297860378656,4.44308399625079
"KCNE4","KCNE4",0.739449287143268,0.000261066152523828,9.16281142826083e-06,939.219609729822,4.43604168033982
"FMO3","FMO3",0.85489594304969,0.000309035042037519,1.12783955044861e-05,406.146807918343,4.39108978158936
"CLEC4G","CLEC4G",1.70726676441389,0.000313010789923455,1.14471436263517e-05,231.571133045524,4.38785996649399
"TEAD2","TEAD2",0.538120197817502,0.000327338234814552,1.21071491889926e-05,1173.61037031927,4.37564938375935
"LINC00882","LINC00882",0.900407572218887,0.000328970694417072,1.22296710607276e-05,56.2380826068485,4.37345277372724
"OR7E14P","OR7E14P",1.05236579830803,0.000369869130214336,1.42112246563142e-05,10.732706718865,4.34057207105344
"AC093702.1","AC093702.1",0.872121241625986,0.000372355179773301,1.43489471974297e-05,21.0776005944401,4.33845252479144
"RNF212","RNF212",0.821998401468589,0.000380781375539872,1.47599717142283e-05,70.7891603022295,4.33224029870595
"CMA1","CMA1",1.51637651812253,0.000397655407456266,1.55990088269877e-05,234.028449736321,4.32005532430853
"CTSG","CTSG",1.25777482175555,0.000412310113757315,1.65681739713304e-05,910.785288098804,4.30673521270517
"SEPT4","SEPT4",0.602857697440257,0.000452162419930754,1.85518299914919e-05,668.947172417935,4.28164317328333
"PTGER1","PTGER1",1.37864202152676,0.000469572591690757,1.9514520792619e-05,59.1547006163667,4.27037427101426
"PFN4","PFN4",0.768412727610334,0.000483099906595903,2.01861988248543e-05,13.3065438357163,4.26282125285486
