"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"GSN","GSN",1.77893889549731,9.53111075420882e-38,8.23594239388079e-41,85883.4969890729,13.3770428235382
"FGF2","FGF2",1.71760145028687,2.80601980422849e-36,2.97223003653471e-39,928.917993043931,13.1077665464803
"TMEM200B","TMEM200B",1.23424440237715,1.99859452346903e-35,2.56265778619026e-38,600.783543879154,12.9433329487702
"HABP4","HABP4",0.824070506503774,6.03359025320204e-35,8.24100132144669e-38,1302.51300241463,12.8533073677055
"AFAP1L2","AFAP1L2",1.25702754942163,6.29829311304128e-35,8.77810886835022e-38,552.484493477353,12.8484233732767
"SESTD1","SESTD1",0.872363087272955,2.91936566499477e-33,6.1845795272363e-36,1934.59466795245,12.5149513034019
"AP001528.3","AP001528.3",2.15645752698769,3.54240831674541e-33,7.8300809339207e-36,264.025840733562,12.4962049989969
"RAB33B","RAB33B",0.584516232390098,2.14945020882256e-32,5.63200890952811e-35,680.94868604787,12.3383180937709
"CTIF","CTIF",1.03561580367912,1.00450768307612e-31,2.96802270121446e-34,1811.13955298375,12.2037581543669
"TF","TF",2.13355779888468,1.39683568317039e-31,4.28298049195102e-34,586.166078601777,12.1738673997309
"MAGI2","MAGI2",0.938498052920424,6.48987024083205e-31,2.18121931210592e-33,393.30091443766,12.0403147116963
"NUMBL","NUMBL",1.11937210801095,4.63595621607239e-30,1.92545637963704e-32,983.425127335948,11.8593142309769
"PLAT","PLAT",1.84438080711332,7.19555097494032e-30,3.06876459697803e-32,1969.23483132427,11.820220921871
"HCG11","HCG11",0.749267895538576,8.51601630639996e-30,3.67939380485573e-32,872.208304597918,11.8049660656247
"COL2A1","COL2A1",4.42577721402904,1.68816930252334e-29,7.62323141487893e-32,80.7740395248287,11.7435347587904
"SPTBN1","SPTBN1",1.29734279918184,2.95029726094513e-29,1.40627409511252e-31,16849.0742906651,11.6916501413609
"ANKDD1A","ANKDD1A",0.993266012515798,3.286106371214e-29,1.58465896089205e-31,288.970132842271,11.6815043469735
"MIGA1","MIGA1",0.586866261996655,3.49231196969823e-29,1.70356681448694e-31,793.836637398802,11.6753532021457
"AOC2","AOC2",1.8151216813554,4.1950521371011e-29,2.10483452175107e-31,109.71678304666,11.6573534322509
"EBF3","EBF3",1.17831035420988,4.950440120737e-29,2.55284020163441e-31,1083.83969720509,11.6409077398833
"LGI4","LGI4",1.46666213472328,5.88872750340487e-29,3.13518314466991e-31,1082.66740757634,11.6233705612259
"RNASE4","RNASE4",1.03428800778618,6.99478050940343e-29,3.74354803569466e-31,2303.65125343437,11.6082136054852
"ZNF704","ZNF704",1.51999118341986,8.52629411008888e-29,4.65826800160954e-31,1264.21727973697,11.5895031539317
"FAM219B","FAM219B",0.758659867088348,1.03356060639944e-28,5.73320029751886e-31,1340.68071522375,11.5717048261027
"TNS2","TNS2",1.08048891432211,1.25506977845384e-28,7.06687373512683e-31,4626.49349376738,11.553749387458
"SIK2","SIK2",1.22986915262199,1.25808484797299e-28,7.11891913974959e-31,2326.67328196461,11.5531189313767
"CYTH3","CYTH3",0.905676070294759,1.93623951019692e-28,1.12261412716644e-30,2825.39770228353,11.5139167124123
"COBLL1","COBLL1",1.181149325468,2.19655013024455e-28,1.28578544209437e-30,1466.62662486247,11.5022112318455
"AP001528.2","AP001528.2",1.95264608511551,2.48534464380767e-28,1.47561925890183e-30,99.9902350419996,11.4903213870769
"JADE1","JADE1",0.734124474863582,2.75038929419044e-28,1.65598351928958e-30,1382.08575528568,11.4803554344991
"TMEM47","TMEM47",1.33169942860431,3.08293114062227e-28,1.89917151798613e-30,1983.94696255247,11.4685025753828
"MGLL","MGLL",1.10469658248239,4.83946167862009e-28,3.03520244652131e-30,7543.24886699045,11.4278531485948
"NECTIN3","NECTIN3",1.05815962475285,5.00789443975563e-28,3.16875829358754e-30,411.774636707049,11.4241126263838
"DDHD2","DDHD2",0.537723385910006,5.24516525373563e-28,3.34813336057271e-30,1606.53846894995,11.4193278437406
"HOXD8","HOXD8",1.0167038994832,6.84330145967473e-28,4.61624795328581e-30,778.067070926311,11.3913791202275
"PARD3B","PARD3B",1.21053839477469,1.11284149429811e-27,7.72397301965796e-30,746.162767428961,11.34644490275
"FGFRL1","FGFRL1",1.21274866526409,1.22690740090776e-27,8.61827637710816e-30,1000.46314767171,11.3368586737129
"CAPS2","CAPS2",0.789846314191579,1.54300907638251e-27,1.11397728441274e-29,150.812263553099,11.3143715032992
"CAV2","CAV2",1.23134981208701,2.22596116941414e-27,1.68769738837811e-29,4769.70639273148,11.2778770034174
"WSCD2","WSCD2",2.44898790734822,2.26218901994041e-27,1.7214706688327e-29,426.103029788975,11.2761334916743
"VAMP2","VAMP2",0.739734049239415,2.49029151614945e-27,1.90893426325045e-29,2985.75829141416,11.2670335242798
"PRKAR2B","PRKAR2B",2.19313359729163,2.93301230539142e-27,2.26465340374473e-29,2684.38156939686,11.2519742942144
"LINC01537","LINC01537",1.23036528653619,2.95777846716712e-27,2.29202066584657e-29,63.5655264957853,11.2509149307715
"TSKU","TSKU",1.40985012656523,3.39592435448234e-27,2.67887551865784e-29,3047.39841785279,11.2371513754868
"TCF7L1","TCF7L1",1.3403121674445,3.92127008771458e-27,3.16596242924557e-29,670.680883743748,11.2223901159739
"PRDM5","PRDM5",0.789009146945505,4.1200157739924e-27,3.34195007730115e-29,303.103370256272,11.2176060217926
"SCD","SCD",3.0285682965999,5.75863498342455e-27,4.73532354037698e-29,27415.9765899182,11.1867385858654
"LEPR","LEPR",1.59779396718628,1.07149243496475e-26,9.19915456359977e-29,1071.1027026373,11.1276870414357
"AFF3","AFF3",1.89394399641602,1.21406648506437e-26,1.0490888093936e-28,416.003573871401,11.1159661233666
"FBXO17","FBXO17",0.921241972442552,1.33852969734088e-26,1.17902546162987e-28,572.454554331488,11.1055399653191
