"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"NTSR2","NTSR2",-2.04154765385603,0.000352220483630413,0.000115585469643525,0.565324319296761,-3.85530492222495
"GPR87","GPR87",-2.78131852925005,0.000352574076854744,0.00011572039872118,16.9285060670933,-3.85501951324219
"AC093424.1","AC093424.1",-1.10020186323943,0.000352794235691159,0.00011581156326362,1.27995402205246,-3.85482685488271
"AP005671.1","AP005671.1",-0.786150226576518,0.000354859837956516,0.000116527668568847,3.37274781197373,-3.85331846204195
"AC005856.1","AC005856.1",-0.758190792114758,0.000355168612548403,0.000116638578999699,3.72751982868485,-3.85308562426347
"GCM1","GCM1",-0.670886077629105,0.000355661214789463,0.000116809880526464,9.12484602161804,-3.85272641550609
"AC008397.2","AC008397.2",-1.20820838711006,0.000355991360311058,0.000116956462774541,11.3630847497386,-3.85241943575619
"AL589935.2","AL589935.2",-0.745502023653546,0.000357428772269821,0.000117453608842898,4.94364325414985,-3.85138098321087
"AC068620.1","AC068620.1",-0.530267696842166,0.000357428772269821,0.000117465749516851,4.95459518667081,-3.85135567531653
"UXT-AS1","UXT-AS1",-0.600246152926763,0.000357902787997519,0.000117632384866317,19.0886317261733,-3.85100856392123
"LINC00689","LINC00689",-0.755482946828993,0.000358135291464252,0.000117718397655157,10.5759178410999,-3.85082957554103
"RN7SL326P","RN7SL326P",-0.712723208990575,0.000358142668900799,0.000117730418367867,4.71869008804186,-3.85080457085221
"AC009097.4","AC009097.4",-0.664910749099463,0.000359762066297039,0.000118310950398678,3.39544748051475,-3.84959984328758
"AC027104.1","AC027104.1",-1.52885827798179,0.000361321267040228,0.000118852750192988,0.64071784788553,-3.84848051163621
"B3GNT4","B3GNT4",-0.575491686724132,0.000361697804221657,0.000118986299071176,13.2536744327203,-3.84820534545306
"AP001363.1","AP001363.1",-0.574369973220229,0.000361748494667866,0.000119012666881728,6.33555571966287,-3.84815105123369
"LINC01964","LINC01964",-0.816616509777833,0.000362803917297032,0.000119379334681694,4.22920439746927,-3.84739721518839
"AL135936.1","AL135936.1",-1.09455614398062,0.000364440134571141,0.000119927490630516,1.40429836098533,-3.84627431746079
"AL160313.1","AL160313.1",-0.650339323921349,0.00036471059562646,0.000120026263860885,4.35769252547195,-3.84607249516098
"AC018697.1","AC018697.1",-0.942048267574683,0.000367614940202205,0.000121051030600035,2.68894426101964,-3.84398779092248
"AC017091.1","AC017091.1",-0.575608758924454,0.000368997780153163,0.000121516269213689,11.9511685012341,-3.84304683278583
"NACA2","NACA2",-1.09533983625608,0.00036946749216522,0.000121680851316745,1.17259199663434,-3.84271477400718
"TMEM178A","TMEM178A",-0.603465653006397,0.000369541270283855,0.000121715050655077,116.907287488086,-3.84264582699199
"SNTG2","SNTG2",-0.543227644728374,0.000370056164480225,0.000121904470227055,70.3135388863243,-3.84226428118142
"ADAMTS19","ADAMTS19",-0.845038566860714,0.000370899031410812,0.00012220200383835,26.8789158474428,-3.84166608945886
"CDH18","CDH18",-0.801426248618549,0.000371145317987286,0.000122293093283167,2.93597749884138,-3.84148322852885
"AP001267.2","AP001267.2",-0.661362337185055,0.000372569965676794,0.000122792810176203,6.72065802896874,-3.8404823318235
"AC018557.1","AC018557.1",-2.07858856534272,0.000373598540197601,0.000123161493947198,23.1543657324236,-3.83974634360274
"CRHBP","CRHBP",-0.745390272227556,0.000373968805966208,0.000123293576545674,158.659202815885,-3.8394831778
"PRSS50","PRSS50",-0.988413800218977,0.000375274602599928,0.00012373413872397,4.68850738261783,-3.83860730453509
"AC012645.2","AC012645.2",-0.783222931181099,0.000375786928214505,0.000123913129318005,3.08135495334282,-3.83825229632184
"AP000842.1","AP000842.1",-0.984426874463001,0.000376748441836097,0.000124280653106289,1.82880487066006,-3.83752486601357
"AC110749.1","AC110749.1",-0.959992050448472,0.00037939153260677,0.000125183043272309,1.67850033377841,-3.83574735461905
"SYNE1-AS1","SYNE1-AS1",-0.819408123155929,0.000379774730147125,0.000125319657489805,2.45280694768434,-3.8354793077449
"RN7SL308P","RN7SL308P",-0.836062666455081,0.000379803529118592,0.000125339336820558,2.89034656572066,-3.83544071818724
"AC121334.3","AC121334.3",-1.05354890498556,0.000379811655622667,0.000125352194999331,2.09328880349953,-3.83541550743533
"AC016949.1","AC016949.1",-0.559254571278786,0.000380833866970908,0.000125709970824467,22.7520987737122,-3.83471499988318
