"Fibroid","Myeloid","Lymphoid","IFN_high","Vascular","Muscle","sample_id","cluster_bio"
-0.420375198630285,-1.30456216254248,-0.603953541665205,-0.0969053770101354,1.72733491350007,-0.220014651401171,"STRAPPAT00171-baseline","Fibroid"
0.219020702523811,-0.61211101894558,-0.920508924230919,-0.0298222673504965,1.73546853338976,-0.269059336867485,"STRAPPAT00151-baseline","Vascular"
-0.163913331965808,-0.374855795874297,-0.284545131275387,1.00866194508009,-1.05698459827073,-0.150179331265893,"STRAPPAT00076-baseline","IFN-high"
-1.39769704921469,-1.61348822924343,-1.74409734302134,-0.947174046085962,-0.734354903804153,-0.217115236758506,"STRAPPAT00074-baseline","Fibroid"
0.181190093761133,-0.710647658683609,-0.317299584815674,-0.537233565491918,1.32430309351399,-0.177571009137838,"STRAPPAT00071-baseline","Vascular"
-0.477230523492714,-1.25074089108626,-1.25256640905545,-1.39303757998374,1.01866215492065,-0.108258146418597,"STRAPPAT00069-baseline","Fibroid"
-0.555706484104543,-1.70730228942974,-1.51714178635727,-1.14660180363368,0.726073279091917,-0.287632199221073,"STRAPPAT00068-baseline","Fibroid"
0.143639055969715,0.761185164799724,0.442490656095803,2.40790214194628,-0.0955389731341562,-0.34578038428948,"STRAPPAT00083-baseline","Lymphoid"
-0.126958358364959,0.340927392393199,0.141485118926668,1.51951540751097,-0.525623870850977,1.46791062551284,"STRAPPAT00081-baseline","Lymphoid"
0.366135746632625,0.603802833275651,1.05772655689781,1.75847375986789,-0.0138498069783281,-0.294556330794111,"STRAPPAT00080-baseline","Lymphoid"
-0.369586442500117,0.323762347163738,-0.1579010433892,-0.923281423926793,-1.07399452478292,-0.227069886987898,"STRAPPAT00079-baseline","IFN-high"
-0.0967296894221098,-1.11319634900323,-1.2357028707498,-1.13968173848101,0.410908120183718,-0.14135295527928,"STRAPPAT00114-baseline","IFN-high"
-0.0751639543246811,0.241654210365631,0.022398387326001,0.469550441656367,-1.42675363505506,-0.225588234080551,"STRAPPAT00078-baseline","IFN-high"
0.449503884917206,-0.1602518660061,-0.434709980213847,-0.890498835252856,0.379644901953003,-0.245529793037749,"STRAPPAT00085-baseline","Vascular"
0.11758234589578,0.602163950300831,0.490694682053304,-0.256144336630014,0.280533912421784,-0.314186805652205,"STRAPPAT00084-baseline","Lymphoid"
0.302174429079745,0.633903228275081,0.0595835847500503,0.492740170048382,0.544291258691065,-0.299846428077944,"STRAPPAT00087-baseline","Vascular"
-0.648205739484582,-1.05503603003236,-1.2895167811243,-1.6200916569853,0.959569792737109,-0.208103948086896,"STRAPPAT00086-baseline","Vascular"
0.429137418378706,0.865211327299124,1.17449203113868,0.418028030445549,-0.00443288899497589,-0.235929935084953,"STRAPPAT00094-baseline","Lymphoid"
0.454548540132814,1.91620324238386,1.53836884928522,-0.639779834585255,-0.546367517366548,-0.115523535510374,"STRAPPAT00092-baseline","Lymphoid"
0.577800846274754,-0.870165496266043,-1.08895153137063,-1.45368213081116,0.655037328696356,-0.264750776423993,"STRAPPAT00091-baseline","Vascular"
-0.584944925931698,1.92355687754369,2.26901725389198,2.25754108855878,-2.53812147892172,1.44087584703271,"STRAPPAT00090-baseline","Lymphoid"
0.320612806840592,0.537847903076954,-0.0497558178631893,-0.749567430143568,0.665371245191566,-0.206653880125875,"STRAPPAT00089-baseline","Vascular"
0.014724016105203,-0.911204786747277,-0.79006507723365,-0.642482347716424,1.85089106850327,-0.132254265771541,"STRAPPAT00156-baseline","Vascular"
-0.022899758082741,-0.160845675937525,0.11264304081222,1.11857868373197,1.17499670255239,-0.250334810637061,"STRAPPAT00088-baseline","Vascular"
