"cluster_bio","Fibroid","Myeloid","Lymphoid","IFN_high","Vascular","Muscle"
"Fibroid",-0.841726934436591,-1.51515093644439,-1.24699505044005,-0.832409008514629,0.266002865467939,-0.109881680922487
"Vascular",0.160817793982401,-0.401243197434774,-0.462381611208856,-0.532609559360722,0.888158439856564,-0.146139395225526
"Lymphoid",0.237651309903902,0.839235097352857,0.862427033920687,0.721913836616277,-0.356651657529893,-0.116215632852116
"Myeloid",-0.469504043482574,-0.99456807581337,-1.19655831935401,-1.11764776693329,-0.215817199881966,5.69320796101384
"IFN-high",-0.208571072870207,-0.0215514085309306,-0.0428518834517786,0.143314205657961,-0.969576603275859,-0.182869707273399
